[w*y^3, x^2*z^2, x^3*z^2, x^3*z^3, y^2*z^3, y^3*z, y^3*z^2, y^3*z^3, w*x*y^2, w*y^3*z, x*z*y^2, x*z^2*y^2, x*z^3*y, x^2*z*y, x^2*z^3*y, y*x^2*z^2, y^2*z^3*x, w*x*y^2*z, w*x^2*z*y]
[z^3, x*z^3, x^2*z^2, x^2*z^3, x^3*z^2, x^3*z^3, y^2*z^3, y^3*z^2, y^3*z^3, z^3*y, w*y^2*z, w*y^3*z, x*z*y^2, x*z^2*y^2, x*z^3*y, x^2*z^3*y, y^2*z^3*x, w*x*y*z, w*x*y^2*z]
[1, w, x, y, z, y^2, y^3, w*x, w*x^3, w*y, w*z, x*y, x^2*w, x^2*z, y*z, w*x^2*y, w*x^2*z, w*x^3*z, y*x*w]
[z^2, z^3, w*x^3, x*z^2, x*z^3, x^2*w, x^2*z, x^2*z^2, x^3*z^2, x^3*z^3, y*z^2, z^2*y^2, w*x^2*z, w*x^3*z, x*z^2*y, x*z^2*y^2, x^2*z*y, x^2*z^3*y, y*x^2*z^2]
[z^3, x*z^3, x^2*z, x^2*z^2, x^2*z^3, x^3*z^2, x^3*z^3, y^2*z^3, y^3*z, y^3*z^2, y^3*z^3, z^2*y^2, z^3*y, w*x^2*z, w*x^3*z, x*z^3*y, x^2*z^3*y, y^2*z^3*x, w*x^2*z*y]
[1, w, x, y, z, y^2, y^3, w*x, w*x^3, w*y, w*y^3, w*z, x*y, x^2*w, y*z, y^2*w, y^2*x, y^2*z, w*x*y^2]
[y, y^2, y^3, w*y, w*y^3, x*y, y*z, y*z^2, y^2*w, y^2*x, y^2*z, y^2*z^3, y^3*z, y^3*z^2, y^3*z^3, z^2*y^2, z^3*y, w*y^2*z, w*y^3*z]
[y^3, z^2, z^3, w*y^3, x*z^3, x^2*z^3, y*z^2, y^2*z, y^2*z^3, y^3*z, y^3*z^2, y^3*z^3, z^2*y^2, z^3*y, w*y^2*z, w*y^3*z, x*z^3*y, x^2*z^3*y, y^2*z^3*x]
[1, w, y, z, y^2, z^2, z^3, w*x, w*y, w*z, x*z^2, x*z^3, x^2*w, x^2*z^2, x^2*z^3, y*z^2, z*x, w*x*z, w*x^2*z]
[z^3, x*z^3, x^2*z^2, x^2*z^3, x^3*z^2, x^3*z^3, y^2*z, y^2*z^3, y^3*z^3, z^2*y^2, z^3*y, w*y^2*z, w*y^3*z, x*z*y, x*z*y^2, x*z^2*y, x*z^3*y, x^2*z^3*y, y^2*z^3*x]
[1, x, z, z^2, z^3, x*z^2, x*z^3, x^2*z, x^2*z^2, x^2*z^3, x^3*z^2, x^3*z^3, y*z^2, y^3*z^2, z*x, z^2*y^2, x*z^3*y, x^2*z^3*y, y^2*z^3*x]
[z, y^3, z^2, z^3, x*z^2, x*z^3, x^2*z, x^2*z^2, x^2*z^3, x^3*z^2, x^3*z^3, y*z^2, y^2*z^3, y^3*z, y^3*z^2, z^2*y^2, w*x^2*z, x*z^2*y^2, y^2*z^3*x]
[z, y^2, z^2, z^3, x*z^2, x^2*z, x^2*z^2, x^3*z^2, x^3*z^3, y*z^2, y^2*z, y^2*z^3, y^3*z^2, y^3*z^3, z^2*y^2, z^3*y, w*x^2*z, x*z^2*y, y^2*z^3*x]
[y^2, y^3, w*y^3, x*y, x^2*w, y^2*w, y^2*x, y^2*z, y^2*z^3, y^3*z^2, y^3*z^3, z^2*y^2, w*x*y^2, w*x^2*y, w*y^3*z, x*z*y^2, y*x*w, w*x*y*z, w*x*y^2*z]
