[z, z^2, x^2*z, x^2*z^2, y*x^2, y*z, y*z^2, y^2*z, y^3*z^2, y^4*z, y^4*z^2, z*x, x*y*z^2, x*y^2*z, x*y^2*z^2, x*y^3*z^2, x^2*y*z, x^2*y^2*z^2, x^3*y*z]
[1, x, y, y^2, y^3, y^4, x*y, x*y^2, y*x^2, y*z, y*z^2, y^2*x^2, y^2*z, y^2*z^2, y^3*x, y^3*z^2, y^4*z, y^4*z^2, z*y^3]
[1, x, y, y^2, y^3, y^4, x*y, x*y^2, y*x^2, y*z^2, y^2*x^2, y^2*z, y^2*z^2, y^3*x, y^3*z^2, y^4*z, y^4*z^2, z*y^3, x*y*z^2]
[y^2, y^3, y^4, z^2, x*z^2, x^2*z^2, y*z^2, y^2*z, y^2*z^2, y^3*z^2, y^4*z, y^4*z^2, z*y^3, x*y*z^2, x*y^2*z^2, x*y^3*z^2, x^2*y*z, x^2*y*z^2, x^2*y^2*z^2]
[x, y, x^2, x^3, x^4, y^2, x*y, x*y^2, x*z^2, x^2*z, x^2*z^2, x^3*z, y*x^2, y*x^3, y^2*x^2, z*x, x^2*y*z^2, x^2*y^2*z^2, x^3*y*z]
[z, z^2, x^2*z, x^2*z^2, y*x^2, y*z, y*z^2, y^2*z, y^2*z^2, y^3*z^2, y^4*z, y^4*z^2, z*x, z*y^3, x*y^2*z^2, x*y^3*z^2, x^2*y*z, x^2*y^2*z^2, x^3*y*z]
[y^2, y^3, y^4, z^2, x*z^2, x^2*z^2, y*z, y*z^2, y^2*z, y^2*z^2, y^3*z^2, y^4*z, y^4*z^2, z*y^3, x*y*z^2, x*y^2*z^2, x*y^3*z^2, x^2*y*z^2, x^2*y^2*z^2]
[x^2, x^3, x^4, y^2, y^3, y^4, x*y^2, x^2*z, y*x^2, y*x^3, y^2*x^2, y^3*x, y^4*z, y^4*z^2, x*y^2*z, x*y^2*z^2, x*y^3*z, x*y^3*z^2, x^3*y*z]
[1, x, y, z, x^2, x^3, x^4, y^2, y^3, y^4, z^2, x*y, x*y^2, x*z^2, y*x^2, y*z, y^2*z, x*y^2*z, x*y^2*z^2]
[y^2, y^3, y^4, z^2, x*z^2, x^2*z^2, y*z, y*z^2, y^2*z^2, y^3*z^2, y^4*z, y^4*z^2, z*y^3, x*y*z^2, x*y^2*z, x*y^2*z^2, x*y^3*z^2, x^2*y*z^2, x^2*y^2*z^2]
[x^2, x^3, x^4, y^3, y^4, x*y^2, x^3*z, y*x^2, y*x^3, y^2*x^2, y^3*x, y^3*z^2, y^4*z, y^4*z^2, x*y^2*z, x*y^2*z^2, x^2*y*z, x^2*y*z^2, x^3*y*z]
[x^3, x^4, z^2, x*z^2, x^2*z, x^2*z^2, x^3*z, y*x^2, y*x^3, y*z^2, y^2*z^2, z*x, x*y*z^2, x*y^2*z^2, x^2*y*z, x^2*y*z^2, x^2*y^2*z, x^2*y^2*z^2, x^3*y*z]
[1, x, y, z, x^2, x^3, y^2, y^3, y^4, x*y, x*y^2, x^2*z, y*x^2, y*x^3, y*z, y^2*x^2, y^3*x, y^4*z, z*y^3]
[x^3, x^4, z^2, x*z^2, x^2*z, x^2*z^2, x^3*z, y*x^2, y*x^3, y*z^2, y^2*z^2, y^3*z^2, x*y*z^2, x*y^2*z, x*y^2*z^2, x^2*y*z, x^2*y*z^2, x^2*y^2*z^2, x^3*y*z]
[x^3, x^4, y^4, x^2*z, x^2*z^2, y*x^3, y^2*x^2, y^3*x, y^3*z^2, y^4*z, y^4*z^2, x*y^2*z^2, x*y^3*z, x*y^3*z^2, x^2*y*z, x^2*y*z^2, x^2*y^2*z, x^2*y^2*z^2, x^3*y*z]
