[x, x^2, x^3, x^4, z*x, z*x^2, x^2*z^2, z^3*x^2, z*x^3, z^2*x^3, x^3*z^3, x^4*z^2, x^4*z^3, z*x^4, w*x^3*z, z*y*x^2]
[x^2, x^3, x^4, y^2, y^3, y^4, y*x, y^2*x, y*x^2, y^2*x^2, z*x^2, y*x^3, z*x^3, z*y^3, y^4*z, z*y^2*x]
[y^2, y^3, y^4, y^2*x, y^2*x^2, z*y^2, z^2*y^2, y^3*x, z*y^3, z^2*y^3, z^3*y*x, z*y^2*x, z^2*y^2*x, x*y^2*z^3, x*y^3*z, x*y^3*z^2]
[w, w^2, w^3, w^4, z*w^2, y*w^3, z*w^3, z*w^4, z^2*w^2, z^2*w^3, z^2*w^4, z^3*w^2, z^3*w^3, z^3*w^4, w^2*x*z^3, w^2*y*z^3]
[z^3*w, z^4*w, w^2*z^4, z^2*w^2, z^2*w^3, z^2*w^4, z^3*w^2, z^3*w^3, z^3*w^4, z^4*w^3, z^3*x*w, z^3*y*w, w^2*x*z^3, w^2*y*z^3, w^2*z^4*x, z^3*w^3*y]
[z^3*y, z^4*y, z^2*y^2, z^3*y^2, y^2*z^4, z^2*y^3, y^3*z^3, z^3*y^4, z^4*y^3, z^3*y*w, z^3*y*x, x*y*z^4, x*y^2*z^3, z^3*y^3*x, z^4*y^2*w, z^4*y^2*x]
[z^2*x^3, x^3*z^3, x^3*z^4, x^4*z^2, x^4*z^3, z^2*y^3, z^2*y^2*x, x*y^2*z^3, x*y^3*z^2, z^2*y*x^2, x^2*y*z^3, x^2*y^2*z^2, x^3*y*z^2, z^3*y*x^3, z^3*y^2*x^2, z^3*y^3*x]
[w^2, x^2, x*w, x^2*w, x^3*w, x*w^2, y*x, z*x^3, z*x^4, y*x*w, z*x*w, w*x*z^2, z^3*x*w, y*x^2*w, w*x^2*z, w*x^3*z]
[z^2*y^3, y^3*z^3, y^4*z^2, z^3*y^4, z^2*y^2*w, w*y^2*z^3, w*y^3*z^2, w^2*y*z^3, w^2*z^4*y, z^2*y*w^2, y*w^3*z^2, z^2*y^2*w^2, z^3*w^3*y, z^3*y^2*w^2, z^3*y^3*w, z^4*y^2*w]
[z^3*x^2, x^2*z^4, x^3*z^3, x^3*z^4, x^4*z^3, z^3*y^2, y^3*z^3, z^4*y^3, z^3*y*x, x*y^2*z^3, x^2*y*z^3, z^3*y*x^3, z^3*y^2*x^2, z^3*y^3*x, z^4*y*x^2, z^4*y^2*x]
[z^3*y^2, y^3*z^3, z^3*w^2, z^3*w^3, z^3*w^4, z^3*y^4, z^4*w^3, z^3*y*w, w*y^2*z^3, w^2*y*z^3, w^2*z^4*y, z^3*w^3*y, z^3*y^2*w^2, z^3*y^3*w, z^4*w*y, z^4*y^2*w]
[1, w, x, y, w^2, y^2, w*y, y^2*w, z*y^2, z*y^3, y*x*w, z*y*w, z^2*y*w, w*y^2*z, w^2*y*z, w*x*y*z]
[w^2, w^3, w^4, y^2, y^3, y^4, w*y, y^2*w, y^3*w, y*w^2, y^2*w^2, y*w^3, z*w^3, z*w^4, z^2*w^4, z*y*w]
[z^2, z^3, z^4, z^2*w, z^3*w, z^4*w, w^2*z^4, z^2*x, z^3*x, z^2*w^2, z^3*w^2, w*x*z^2, z^2*y*w, z^2*y^2*w, w^2*y*z^3, w^2*z^4*y]
[w^2, w^3, w^4, x^3, x^4, x*w, x^3*w, x*w^2, x*w^3, z*x^3, w*x^2*z, w*x^3*z, z*x*w^2, w^2*x^2*z, x*z^2*w^2, z*x*w^3]
[z^2*y^2, z^3*y^2, y^2*z^4, z*y^3, z^2*y^3, y^3*z^3, y^4*z, y^4*z^2, z^3*y^4, z^4*y^3, w*y^3*z^2, z^2*y^2*x, x*y^2*z^3, z^3*y^3*w, z^3*y^3*x, z^4*y^2*x]
